CLASS_TYPE,CHAR_NAME,CHAR_VALUE,INACTIVE
FINISHED_GOODS,SUB-BRAND,RXBAR BITES,
FINISHED_GOODS,SUB-BRAND,RXBAR ENERGY BAR,
FINISHED_GOODS,SUB-BRAND,SALTY SNACKS,
FINISHED_GOODS,SUB-BRAND,SNACKS GROSS ADJUSTMENT,
FINISHED_GOODS,SUB-BRAND,SNAP'D,
FINISHED_GOODS,SUB-BRAND,SOFT BATCH,
FINISHED_GOODS,SUB-BRAND,SPECIAL K BAR MIXED,
FINISHED_GOODS,SUB-BRAND,SPECIAL K BARS,
FINISHED_GOODS,SUB-BRAND,SPECIAL K CRACKER CHIPS,
FINISHED_GOODS,SUB-BRAND,SPECIAL K CRACKERS,
FINISHED_GOODS,SUB-BRAND,SPECIAL K GRANOLA BAR,
FINISHED_GOODS,SUB-BRAND,SPECIAL K H&W BARS,
FINISHED_GOODS,SUB-BRAND,SPECIAL K NOURISH BAR,
FINISHED_GOODS,SUB-BRAND,SPECIAL K PASTRY CRISPS,
FINISHED_GOODS,SUB-BRAND,SPECIAL K PROTEIN,
FINISHED_GOODS,SUB-BRAND,SPECIAL K PROTEIN MEAL BAR,
FINISHED_GOODS,SUB-BRAND,SPECIAL K SNACK BARS,
FINISHED_GOODS,SUB-BRAND,SPECIALTY GRAHAMS,
FINISHED_GOODS,SUB-BRAND,SPK PROTEIN MEAL BAR,
FINISHED_GOODS,SUB-BRAND,STUFFED PANCAKE BITES,
FINISHED_GOODS,SUB-BRAND,TOASTED,
FINISHED_GOODS,SUB-BRAND,TOASTED VARIETY PACK,
FINISHED_GOODS,SUB-BRAND,TOWN HOUSE,
FINISHED_GOODS,SUB-BRAND,TOWN HOUSE FLATBREAD,
FINISHED_GOODS,SUB-BRAND,TOWN HOUSE FLIPSIDES,
FINISHED_GOODS,SUB-BRAND,TOWN HOUSE MIXED,
FINISHED_GOODS,SUB-BRAND,TOWN HOUSE PITA,
FINISHED_GOODS,SUB-BRAND,TOWN HOUSE PRETZEL THINS,
FINISHED_GOODS,SUB-BRAND,TWISTED FRUIT BITES,
FINISHED_GOODS,SUB-BRAND,UNICORN WAFFLES,
FINISHED_GOODS,SUB-BRAND,VANILLA WAFERS,
FINISHED_GOODS,SUB-BRAND,VECTOR BARS,
FINISHED_GOODS,SUB-BRAND,VIENNA FINGERS,
FINISHED_GOODS,SUB-BRAND,WHOLE GRAIN POP-TARTS,
FINISHED_GOODS,SUB-BRAND,ZESTA SALTINES,
