CLASS_TYPE,CHAR_NAME,CHAR_VALUE,ABBREVIATION,INACTIVE
FINISHED_GOODS,FLAVOR,DOUBLE CHOCOLATE CHUNK,DBL CHOC CHNK,
FINISHED_GOODS,FLAVOR,DOUBLE FUDGE,DBL FDGE,
FINISHED_GOODS,FLAVOR,DUAL CHEDDAR PARMASEN,DUAL CHDR PRMSN,
FINISHED_GOODS,FLAVOR,DUOZ BACON & CHEDDAR,DUOZ BCN CHDR,
FINISHED_GOODS,FLAVOR,DUOZ CARAMEL POPCORN & CHEDDAR,DUOZ CRML PPCRN CHDR,
FINISHED_GOODS,FLAVOR,DUOZ CHEDDAR JACK/PRETZEL,DUOZ CHDR JCK PRTZL,
FINISHED_GOODS,FLAVOR,DUOZ CHEDDAR/BABY SWISS,DUOZ CHDR/B SWIS,
FINISHED_GOODS,FLAVOR,DUOZ CHEDDAR/POPCORN,DUOZ CHDR PPCRN,
FINISHED_GOODS,FLAVOR,DUOZ JALAPENO & CHEDDAR JACK,DUOZ JLPN & CHDR JCK,
FINISHED_GOODS,FLAVOR,DUOZ SHARP CHEDDAR/PARMESAN,DUOZ SHRP CHDR/PRM,
