T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,CLASS_TYPE,CHAR_NAME,CHAR_VALUE_SMARTOPS
2070100150,PRIVATE LABEL CRUSTS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,SNAKS-MISC
2070200151,KELLOGG'S CROUTETTES STUFFING MIX,SMARTOPS,SMARTOPS_SUPPLYCHAIN,SNAKS-MISC
2070300152,KELLOGG GRAHAM CRACKER CRUMBS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,SNAKS-MISC
2070400154,EGGO SYRUP,SMARTOPS,SMARTOPS_SUPPLYCHAIN,SNAKS-MISC
2070999999,INGREDIENTS PRODUCT RESERVE,SMARTOPS,SMARTOPS_SUPPLYCHAIN,SNAKS-MISC
2080100155,BEAR NAKED TRAIL MIX,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2080100267,PURE CLUSTERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2080100286,BEAR NAKED BARK,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2080200203,KASHI HERITAGE SIDES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2080300261,CROSS CATEGORY SNACK BOX,SMARTOPS,SMARTOPS_SUPPLYCHAIN,SNAKS-MISC
2080300297,LEAF JERKY,SMARTOPS,SMARTOPS_SUPPLYCHAIN,OTHER CONVENIENCE
2080400312,RXBAR NUT BUTTERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2080999999,OTHER CONVENIENCE PRODUCT RESERVE,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2090100156,GIRL SCOUT AWARDS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,NON FOOD
2090100211,DISPLAYS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,NON FOOD
2090100247,SNACKS MISC LICENSING,SMARTOPS,SMARTOPS_SUPPLYCHAIN,NON FOOD
2090100248,IDEAL VIE,SMARTOPS,SMARTOPS_SUPPLYCHAIN,NON FOOD
4010100157,EGGO WAFFLES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,EGGO
4010100158,KASHI GOLEAN WAFFLES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
4010100159,KASHI WAFFLES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
4010100160,EGGO SPECIAL K WAFFLES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,EGGO
4010100161,MIXED FROZEN BRANDS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,EGGO
4010100205,EGGO NUTRI-GRAIN WAFFLES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,EGGO
4010100290,OFF THE GRID WAFFLES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,OFF THE GRID
4010100303,KELLOGG'S WAFFLES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,EGGO
4010200162,EGGO PANCAKES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,EGGO
4010200163,CINNABON PANCAKES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,EGGO
4010300164,EGGO BAKE SHOP,SMARTOPS,SMARTOPS_SUPPLYCHAIN,EGGO
4010300165,EGGO SWEET PIZZA,SMARTOPS,SMARTOPS_SUPPLYCHAIN,EGGO
4010300198,EGGO MUFFIN TOPS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,EGGO
4010300199,EGGO SWEET GOODS NEW,SMARTOPS,SMARTOPS_SUPPLYCHAIN,EGGO
4010300200,SPECIAL K MINI LOAVES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,EGGO
4010400166,EGGO SAVORY,SMARTOPS,SMARTOPS_SUPPLYCHAIN,EGGO
