T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,COUNTRY,MAT_GRP_1,MAT_GRP_1_DESC,CONCATENATION
2030100097,KASHI HEART TO HEART CRACKERS,US,50,SALTY SNK,50 SALTY SNK
2030100098,KELLOGG CRACKER BRAND,US,50,SALTY SNK,50 SALTY SNK
2030100099,KLG CRACKER PACKS OTG,US,50,SALTY SNK,50 SALTY SNK
2030100100,KLG LICENSED CRACKERS,US,50,SALTY SNK,50 SALTY SNK
2030100101,KLG LICENSED CRACKERS OTG,US,50,SALTY SNK,50 SALTY SNK
2030100102,KRISPY,US,50,SALTY SNK,50 SALTY SNK
2030100103,PRIVATE LABEL CRACKERS,US,50,SALTY SNK,50 SALTY SNK
2030100104,RIGHT BITES CHEEZ-IT OTG,US,50,SALTY SNK,50 SALTY SNK
2030100105,SPECIAL K CRACKERS,US,50,SALTY SNK,50 SALTY SNK
2030100106,SPECIAL K CRACKERS OTG,US,50,SALTY SNK,50 SALTY SNK
2030100107,SUNSHINE CRACKERS OTHER,US,50,SALTY SNK,50 SALTY SNK
2030100108,KASHI CRACKERS,US,50,SALTY SNK,50 SALTY SNK
2030100109,KASHI CRACKERS OTG,US,50,SALTY SNK,50 SALTY SNK
2030100110,TOASTED,US,50,SALTY SNK,50 SALTY SNK
2030100111,TOWN HOUSE,US,50,SALTY SNK,50 SALTY SNK
2030100112,MIXED CRACKER BRANDS,US,50,SALTY SNK,50 SALTY SNK
2030100113,WHEATABLES,US,50,SALTY SNK,50 SALTY SNK
2030100114,ZESTA SALTINES,US,50,SALTY SNK,50 SALTY SNK
2030100115,OTHER CRACKERS,US,50,SALTY SNK,50 SALTY SNK
2030100189,BEANATURAL,US,50,SALTY SNK,50 SALTY SNK
2030100190,KASHI PITA CRACKERS,US,50,SALTY SNK,50 SALTY SNK
2030100209,CADDIES MIXED CRACKERS OTG,US,50,SALTY SNK,50 SALTY SNK
2030100212,AUSTIN CRACKERS,US,50,SALTY SNK,50 SALTY SNK
2030100236,BEAR NAKED CRACKERS,US,50,SALTY SNK,50 SALTY SNK
2030100238,KASHI CRISP CRACKERS,US,50,SALTY SNK,50 SALTY SNK
2030100270,CHEEZ-IT SANDWICH CRACKERS,US,50,SALTY SNK,50 SALTY SNK
2030100319,PURE CRACKERS,US,50,SALTY SNK,50 SALTY SNK
2030100323,CLUB CRACKERS OTG,US,50,SALTY SNK,50 SALTY SNK
2030200325,KELLOGG GRAHAM CRUMBS,US,50,SALTY SNK,50 SALTY SNK
2030999999,CRACKERS PRODUCT RESERVE,US,50,SALTY SNK,50 SALTY SNK
2035100221,PRINGLES CRISPS,US,50,SALTY SNK,50 SALTY SNK
2035100222,PRINGLES CRISPS SNACK STACKS,US,50,SALTY SNK,50 SALTY SNK
2035100277,PRINGLES WAVY,US,50,SALTY SNK,50 SALTY SNK
2035100321,PRINGLES HARVEST BLENDS,US,50,SALTY SNK,50 SALTY SNK
2035100324,PRINGLES MINGLES,US,50,SALTY SNK,50 SALTY SNK
2035150249,PRINGLES TORTILLAS,US,50,SALTY SNK,50 SALTY SNK
2035150271,PRINGLES LOUD,US,50,SALTY SNK,50 SALTY SNK
2035200223,PRINGLES STIX,US,50,SALTY SNK,50 SALTY SNK
2035200224,OTHER SALTY SNACKS,US,50,SALTY SNK,50 SALTY SNK
2035200242,KASHI SALTY SNACKS CRISPS,US,50,SALTY SNK,50 SALTY SNK
2035200250,CHEEZ-IT SALTY SNACKS,US,50,SALTY SNK,50 SALTY SNK
2035200252,EAGLE SALTY SNACKS CRISPS,US,50,SALTY SNK,50 SALTY SNK
2035200317,PRINGLES PUFFS,US,50,SALTY SNK,50 SALTY SNK
2035999999,SALTY SNACKS PRODUCT RESERVE,US,50,SALTY SNK,50 SALTY SNK
2040100116,FRUIT PIECES DISNEY,US,40,PWS,40 PWS
2040100117,FRUIT PIECES OTHER LICENSED,US,40,PWS,40 PWS
2040100118,FRUIT PIECES NON-LICENSED,US,40,PWS,40 PWS
2040100119,PRIVATE LABEL FRUIT PIECES,US,40,PWS,40 PWS
2040100219,STRETCH ISLAND SIFCO PIECES,US,40,PWS,40 PWS
2040200120,YOGOS,US,40,PWS,40 PWS
2040200121,YOGO ROLLERS,US,40,PWS,40 PWS
2040200122,STRETCH ISLAND SIFCO,US,40,PWS,40 PWS
2040200123,FRUITABU,US,40,PWS,40 PWS
2040200124,FRUIT ROLLS,US,40,PWS,40 PWS
2040200125,PRIVATE LABEL FRUIT OTHER,US,40,PWS,40 PWS
2040200268,PURE FRUIT STRIPS,US,40,PWS,40 PWS
2040200269,PURE LAYERED FRUIT BARS,US,40,PWS,40 PWS
2040999999,FRUIT SNACKS PRODUCT RESERVE,US,40,PWS,40 PWS
2050100126,ALL BRAN CEREAL BARS,US,40,PWS,40 PWS
2050100127,CEREAL BREAKFAST BAR,US,40,PWS,40 PWS
2050100128,CINNABON BARS,US,40,PWS,40 PWS
2050100129,NUTRI-GRAIN CEREAL BARS,US,40,PWS,40 PWS
2050100130,SPECIAL K CEREAL BARS,US,40,PWS,40 PWS
2050100131,KASHI CEREAL BARS,US,40,PWS,40 PWS
2050100194,BE NATURAL BARS,US,40,PWS,40 PWS
2050100204,KASHI SOFT N CHEWY BARS,US,40,PWS,40 PWS
2050100289,KASHI BITES,US,40,PWS,40 PWS
2050200132,KASHI LAYERED BARS,US,40,PWS,40 PWS
2050200133,BEAR NAKED BARS,US,40,PWS,40 PWS
2050200134,FIBER PLUS BARS,US,40,PWS,40 PWS
2050200135,SWEET & SALTY BARS,US,40,PWS,40 PWS
2050200136,KASHI CHEWY BARS,US,40,PWS,40 PWS
2050200195,KASHI CRUNCHY BARS,US,40,PWS,40 PWS
2050200196,KEEBLER GRANOLA BARS,US,40,PWS,40 PWS
2050200197,KELLOGG GRANOLA MUNCH'EMS,US,40,PWS,40 PWS
2050200207,KASHI MIXED BRANDS,US,40,PWS,40 PWS
2050200210,SPECIAL K GRANOLA BARS,US,40,PWS,40 PWS
2050200227,GIRL SCOUT GRANOLA BAR,US,40,PWS,40 PWS
2050200232,NUTRI-GRAIN GRANOLA BARS,US,40,PWS,40 PWS
2050200258,KASHI ORGANIC CHEWY BARS,US,40,PWS,40 PWS
2050300137,RKT SQUARES,US,40,PWS,40 PWS
2050300138,RKT CRUNCH MIX,US,40,PWS,40 PWS
2050300216,KASHI SOFT BAKED SQUARES,US,40,PWS,40 PWS
2050300254,KRAVE TREAT BARS,US,40,PWS,40 PWS
2050300263,PURE ANCIENT GRAINS BAR,US,40,PWS,40 PWS
2050300264,PURE 100 CAL BAR,US,40,PWS,40 PWS
2050300283,RKT POPPERS,US,40,PWS,40 PWS
2050400139,ALL BRAN FIBER BARS,US,40,PWS,40 PWS
2050400140,SPECIAL K PROTEIN BARS,US,40,PWS,40 PWS
2050400141,LIVE BRIGHT,US,40,PWS,40 PWS
2050400142,KASHI GOLEAN BARS,US,40,PWS,40 PWS
2050400208,SPK MIXED H & W BRANDS,US,40,PWS,40 PWS
2050400233,SPECIAL K NOURISH BARS,US,40,PWS,40 PWS
2050400234,BEAR NAKED H&W BARS,US,40,PWS,40 PWS
2050400235,KASHI JOI,US,40,PWS,40 PWS
2050400265,PURE FRUIT & NUT BAR,US,40,PWS,40 PWS
2050400266,PURE VEGGIE PROTEIN BAR,US,40,PWS,40 PWS
2050400275,KASHI H&W BARS,US,40,PWS,40 PWS
2050400278,HAPPY INSIDE BARS,US,40,PWS,40 PWS
2050400279,HAPPY INSIDE MIX,US,40,PWS,40 PWS
2050400280,WK RESERVE,US,40,PWS,40 PWS
2050400285,KASHI PROTEIN BARS,US,40,PWS,40 PWS
2050409999,H & W BARS PRODUCT RESERVE,US,40,PWS,40 PWS
2050500143,VECTOR BARS,US,40,PWS,40 PWS
2050500206,MIXED WS BRANDS,US,40,PWS,40 PWS
2050500255,OTHER NEW BARS,US,40,PWS,40 PWS
2050600309,RXBAR,US,40,PWS,40 PWS
2050600310,RXBAR MINIS,US,40,PWS,40 PWS
2050600311,RXBAR LAYERS,US,40,PWS,40 PWS
2050600314,RXBAR KIDS,US,40,PWS,40 PWS
2050600316,RXBAR PLANT-BASED,US,40,PWS,40 PWS
2050999999,BARS PRODUCT RESERVE,US,40,PWS,40 PWS
2060100230,SPECIAL K BREAKFAST SHAKE,US,40,PWS,40 PWS
2060100231,KELLOGG BREAKFAST TG SHAKE,US,40,PWS,40 PWS
2060100244,VECTOR SHAKES,US,40,PWS,40 PWS
2060100246,ALL BRAN SHAKES,US,40,PWS,40 PWS
2060200145,SPECIAL K POWDERS,US,40,PWS,40 PWS
2060200146,ALL BRAN FIBER POWDER,US,40,PWS,40 PWS
2060200147,KASHI GOLEAN POWDERS,US,40,PWS,40 PWS
2060200148,MSF ORGANIC-KAFFREE ROMA,US,40,PWS,40 PWS
2060200243,KELLOGG BREAKFAST TG POWDER,US,40,PWS,40 PWS
2060200273,DO NOT USE,US,50,SALTY SNK,50 SALTY SNK
2060999999,BEVERAGES PRODUCT RESERVE,US,20,COOK OTHER,20 COOK OTHER
2070100149,KEEBLER CRUSTS,US,20,COOK OTHER,20 COOK OTHER
2070100150,PRIVATE LABEL CRUSTS,US,20,COOK OTHER,20 COOK OTHER
2070200151,KELLOGG'S CROUTETTES STUFFING MIX,US,20,COOK OTHER,20 COOK OTHER
2070300152,KELLOGG GRAHAM CRACKER CRUMBS,US,20,COOK OTHER,20 COOK OTHER
