CLASS_TYPE,CHAR_NAME,CHAR_VALUE,ABBREVIATION,INACTIVE
PROMOTION,LONG_DESCRIPTION,GV GT,GV GT,
PROMOTION,LONG_DESCRIPTION,HALLOWEEN,HLLWN,
PROMOTION,LONG_DESCRIPTION,HALLOWEEN (NATIONAL),HALLOWN,
PROMOTION,LONG_DESCRIPTION,HALO,HALO,
PROMOTION,LONG_DESCRIPTION,HALO GAMING TENT POLE,HALO,
PROMOTION,LONG_DESCRIPTION,HASBRO,HASBRO,
PROMOTION,LONG_DESCRIPTION,HEALTH AND WELLNESS,HW,
PROMOTION,LONG_DESCRIPTION,HEALTHY DIVIDENDS ON DEMAND,HLTY DVD,
PROMOTION,LONG_DESCRIPTION,HEB,HEB,
PROMOTION,LONG_DESCRIPTION,HERES MY STORY,HRS MY STRY,
PROMOTION,LONG_DESCRIPTION,HISPANIC,HISP,
PROMOTION,LONG_DESCRIPTION,HISPANIC CHILDREN'S DAY,HISPCDAY,
PROMOTION,LONG_DESCRIPTION,HISPANIC EKONOPACK,HISP EKNPCK,
PROMOTION,LONG_DESCRIPTION,HISPANIC HOLIDAY BOWL,HSP HBOWL,
PROMOTION,LONG_DESCRIPTION,HOCUSPOCUS2,HCSPCS2,
PROMOTION,LONG_DESCRIPTION,HOLIDAY,HOL,
PROMOTION,LONG_DESCRIPTION,HOLIDAY BOWL,HLDY BWL,
PROMOTION,LONG_DESCRIPTION,HOLIDAY IRC,HLDY IRC,
PROMOTION,LONG_DESCRIPTION,HOLIDAY PACKTIVATIO,HLDY PCKTVTN,
PROMOTION,LONG_DESCRIPTION,HOLIDAY PACKTIVATION,HLDY PCTVTN,
PROMOTION,LONG_DESCRIPTION,HOLIDAY RECIPE,H RECIPE,
PROMOTION,LONG_DESCRIPTION,HOLIDAY RKT,HOLI RKT,
PROMOTION,LONG_DESCRIPTION,HOLIDAY TOY BOX,HLDY TBX,
PROMOTION,LONG_DESCRIPTION,HOLIDAY TOY WALMART,HLDY TY WLMRT,
PROMOTION,LONG_DESCRIPTION,HOOPS,HPS,
PROMOTION,LONG_DESCRIPTION,HOOPS TENT POLE,HPS TNT PL,
PROMOTION,LONG_DESCRIPTION,HUNGER,HNGR,
PROMOTION,LONG_DESCRIPTION,ICEE,ICEE,
PROMOTION,LONG_DESCRIPTION,IMMUNITY REPACK,IMMUNITY RPK,
PROMOTION,LONG_DESCRIPTION,INCORPORATION CAMPAIGN,INCRPRTN CMPGN,
PROMOTION,LONG_DESCRIPTION,INGRAINED WAL-MART,INGRND WM,
PROMOTION,LONG_DESCRIPTION,INNOVATION,INNOV,
PROMOTION,LONG_DESCRIPTION,INSERT,INSRT,
PROMOTION,LONG_DESCRIPTION,INSERT LIGHTYEAR,INSRT LTYR,
PROMOTION,LONG_DESCRIPTION,INSTANT REDEEMABLE COUPON,IRC,
PROMOTION,LONG_DESCRIPTION,INVENTORY SEGREGATION,INVNTY SGRTN,
PROMOTION,LONG_DESCRIPTION,INVERTED,INVERTED,
PROMOTION,LONG_DESCRIPTION,IRC,IRC,
PROMOTION,LONG_DESCRIPTION,JAKE & THE NEVERLAND PIRATES,JAKE,
PROMOTION,LONG_DESCRIPTION,JUMP START,JMP STRT,
PROMOTION,LONG_DESCRIPTION,JURASSIC WORLD,JRSSC WRLD,
PROMOTION,LONG_DESCRIPTION,K-12,K12,
PROMOTION,LONG_DESCRIPTION,KASHI HARVEST,KSHI HRVST,
PROMOTION,LONG_DESCRIPTION,KASHI REPACK,KSHI RPCK,
PROMOTION,LONG_DESCRIPTION,KEEP OR DONATE,KP DNATE,
PROMOTION,LONG_DESCRIPTION,KEU,KEU,
PROMOTION,LONG_DESCRIPTION,KICKPACK,KCKPK,
PROMOTION,LONG_DESCRIPTION,KID BONUS PACK PROGRAM,KIDBONUS,
PROMOTION,LONG_DESCRIPTION,KIND CAMPAIGN,KND CMPGN,
PROMOTION,LONG_DESCRIPTION,KING SOOPERS,KSOOP,
PROMOTION,LONG_DESCRIPTION,KROGER,KR,
PROMOTION,LONG_DESCRIPTION,KROGER AVENGERS,KR AVENGERS,
PROMOTION,LONG_DESCRIPTION,KROGER BACK TO SCHOOL,KR BTS,
PROMOTION,LONG_DESCRIPTION,KROGER BCA,KR BCA,
PROMOTION,LONG_DESCRIPTION,KROGER DISNEY INSERT,KR DSNY INSRT,
PROMOTION,LONG_DESCRIPTION,KROGER DYTNA,KR DYTNA,
PROMOTION,LONG_DESCRIPTION,KROGER EASTER,KR ESTR,
PROMOTION,LONG_DESCRIPTION,KROGER HEALTHY DIVIDENDS,KR HLTY DVD,
PROMOTION,LONG_DESCRIPTION,KROGER INNOVATION,KR INNOV,
PROMOTION,LONG_DESCRIPTION,KROGER IRC,KR IRC,
PROMOTION,LONG_DESCRIPTION,KROGER MAJOR LEAGUE BASEBALL,KR MLB,
PROMOTION,LONG_DESCRIPTION,KROGER OLYMPIC,KR OLY,
