MARA_MATNR,MAKT_MAKTX
000000003010030074,GRHMS GRHM CRCKR 0.49OZX200 REST PK
000000003010037739,MIXED CRCKR MEDLEY 6.25LBX1 BULK
000000003010038406,GRHMS HNEY CRCKR 0.49OZX200 BULK REST PK
000000003010040213,GRHMS TGR BTS ORG CRCKR 150CT 1OZX150 SS
000000003010044372,KLG CRCKR SHPR X48
000000003010047241,KLG CLB CHDR CRCKR 6PK 8CT 11OZX12
000000003010047324,KLG CHPB CRCKR 6PK 8CT 11OZX12
000000003010047357,KLG TST & PB CRCKR 6PK 8CT 11OZX12
000000003010048717,KLG CH ON CH CRCKR 11OZX12
000000003010050689,KLG SCOOBY CIN GRHMSTX CRCKR 1OZX210 SS
000000003010055644,KLG BUG BTS CRCKR 1OZX210 SS
000000003010057398,MIXED VRTY CRCKR 0.24x500 REST PK
000000003010067355,TH ORIG CRCKR 104OZX1 BULK
000000003010078457,TH SSLT PITA CRCKR 9.5OZX12
000000003010078466,TH MDTRN HRB PITA CRKR 9.5OZX12
000000003010080741,GRP CHOC CHP CRCKR 0.95OZX150
000000003010091822,GRHMS HNY GRM CRCKR 0.78OZX150
000000003010091829,GRHMS ORIG CRCKR 0.78OZX150
000000003800004888,PT MIXED 21.75OZX12
000000003800005817,PT FRSTD SMORES TSTP 2CT 3.30OZX72 SS
000000003800005872,NG VRTY BAR 48CT 20.8OZX3
000000003800010029,PRG US ORG 60/19G SNKSTK
000000003800010068,PRG US SNK STK ORG 48CT 912GX65 CLUB
000000003800010094,PRG LA Cheese 14X137G
000000003800010522,SPK 2 FLVS PRT MEAL BAR ASSTX4
000000003800010675,RKT ORIG BAR 40CT 31.2OZX4CT CS
000000003800010739,NG VRTY BAR 48CT 62.4OZX175 CLUB
000000003800010758,EG BLUBRRY FRZ WFL 60CT 74.1OZX180 CLUB
000000003800010826,NG VRTY BAR 36CT 46.8OZX245 CLUB
000000003800011029,NG STRW BAR 8CT 10.4OZX6
000000003800011032,NG APL BAR 8CT 10.4OZX6 RCP
000000003800011042,EG HSTYLE FRZ WFL 40CT 49.3OZX240
000000003800011052,RKT WHL GRN BAR 1.41OZ 20CTX4 SS
000000003800011286,EG HSTYLE FRZ WFL MINIS 10CT 10.9OZX8
000000003800011336,NG BLUBRRY BAR 16CT 20.8OZX6
000000003800011480,EG CINN TST FRZ WFL MINIS 10CT 10.75OZX8
000000003800011895,EG BLUBRRY WFL 10CT 12.3OZX8
000000003800011896,EG BTRMLK WFL 10CT 12.3OZX8
000000003800011897,EG CHOC CHP WFL 10CT 12.3OZX8
000000003800012070,PT WHL GRN CHOC TSTP 1.69OZ 10CTX12 SS
000000003800012073,PT WHL GRN CHOC TSTP 2CT 3.3OZX72 SS
000000003800012173,RKT ORIG MINI BAR 60CT 23.2OZX4 HALLOWN
000000003800012249,EG HSTYLE WFL 72 88.8OZX1 HISP CLUB
000000003800012346,RKT MINI BAR 50CT 19.5OZX4
000000003800012490,SPK PRTN CHOC CHP CK DOU BAR 12CT 19OZX6
000000003800012670,RKT ORIG BAR 25CT 32.5OZX189 CLUB
000000003800012842,PRG MX DW ORG CRISPS 14X124G GAMING
000000003800012872,PRG MX DW SCO CRISPS 14X124G GAMING
000000003800012877,PRG MX DW CHZ CRISPS 14X124G GAMING
000000003800012954,NG BLUBRRY BAR 10.4OZX6 RCP
000000003800013060,PRG LA ORG CRISPS 14X124G GAMING
000000003800013287,PRG LA SCO CRISPS 14X124G GAMING
000000003800013321,PRG LA SCO CRISPS 12X40G SWITCH
000000003800013322,PRG LA ORG CRISPS 12X37G SWITCH
000000003800013338,PRG LA CHZ CRISPS 12X40G SWITCH
000000003800013463,PRG 3 FLVS CRISPS 48CT MXD GRB & GO SHPR
000000003800013840,PRG US ORG CRISPS 14X149G
000000003800013842,PRG US SCO CRISPS 14X158G
000000003800013844,PRG US ORG CRISPS 149GX14 TRY
000000003800013845,PRG US SCO CRISPS 14X158G TRY
000000003800013856,PRG US CHDRCHZ CRISPS 14X158G
000000003800013858,PRG US CHDRCHZ CRISPS 14X158G TRY
000000003800013859,PRG US S&V CRISPS 14X158G
000000003800016591,EG HMSTYL WFL 10CT 12.3OZX8 MCKY & FRNDS
000000003800016756,SPK CRISP STRAW BAR 15.84OZX6 36CT
000000003800016770,SPK CRSP BSGR CINN BAR 12CT 5.28OZX8
000000003800016772,SPK CRSP BLUBRY BAR 12CT 5.28OZX8
000000003800016777,SPK CRSP STRW BAR 12CT 5.28OZX8
000000003800016814,PRG 2 FLVS CRISPS 84CT PDSTL ORG/SCO
000000003800016909,PRG US PIZZA CRISPS 12X71g G&G
000000003800016967,PRG US SCO CRISPS 203G X 14 CAN
000000003800017067,PRG US S&V CRISPS 158G X 14 HOOPS
000000003800017114,RKT ORIG BAR 60CT 46.8OZX120 CLUB
000000003800017115,RKT ORIG BAR 60CT 46.8OZX120 EXPT CLUB
000000003800017196,PT WHL GRN BB TSTP 1.69OZ 10CTX12 SS
000000003800017199,PT WHL GRN BLUBRRY TSTP 2CT 3.3OZX72 SS
000000003800017311,PRG US ORG CRISPS 149X14 RD WT BL
000000003800017312,PRG US CHDRCHZ CRISPS 158X14 RD WT BL
000000003800017315,PRG US SCO CRISPS 158X14 RD WT BL
000000003800017378,RKT ORIG BAR MIN 60CT 23.2OZX4 ALDI HLWN
000000003800017590,PRG US CHDRCHZ CRISPS 203G x 14 CT
000000003800017592,PRG US BBQ CRISPS 203G X 14CT
000000003800017718,RKT 1 FLV BAR HALF MODX64 EVDY OFR
000000003800017719,RKT 1 FLV BAR HALF MODX440 EVDY OFR
000000003800017782,PRG MX ORG CRISPS 12X37G PRM 3
000000003800017783,PRG MX SCO CRISPS 12X40G PRM 3
000000003800017839,RKT ORIG BAR 60CT 46.8OZX120 BJ CLUB
000000003800017867,EG HSTYLE FRZ WFL 10CT 12.3OZX8
000000003800018174,PRG CRISPS SNK STK US BBQ CRISPS 21GX60
000000003800018258,PRG CRISPS SNK STK 3 FLVS CRISPS 27CT
000000003800018263,PRG CRISPS SNK STK 6 FLVS CRISPS 27CT
000000003800018364,PRG US BBQ CRISPS 12CT X 71G
000000003800018366,PRG US BBQ CRISPS 14CT X 158G
000000003800018367,PRG US BBQ CRISPS 14CT X158G TRAY
000000003800018372,PRG US BBQ CRISPS 12CT X 40G
000000003800018473,"PRG 4 FLVS CRISPS 84CT PDSTL O,SC,CC,BBQ"
000000003800018488,PRG LA ORG CRISPS 14X124G COD
000000003800018489,PRG LA SCO CRISPS 14X124G COD
000000003800018490,PRG LA CHZ CRISPS 14X124G COD
000000003800018491,PRG LA ORG CRISPS 14X124G
000000003800018492,PRG LA SCO CRISPS 14X124G
000000003800018498,PRG LA CHZ CRISPS 14X124G
000000003800018503,PRG LA BBQ CRISPS 14X124G
000000003800018505,PRG LA PIZZA CRISPS 14X124G
000000003800018514,PRG MX CHILE LIMON CRISPS 14X124G
000000003800018574,EG CONFETTI FRZ PANC MINIS 3.03OZX72
000000003800018587,PRG US CHZ 4/12PK/21G SNCKSTK
000000003800018680,PRG 3 FLVS CRISPS 728CT MOD OR/SC/CC
000000003800018684,PRG 3 FLVS CRISPS 336CT 1/2 MOD OR/SC/CC
000000003800018687,PRG 4 FLVS CRISPS 728CT MEGA MOD
000000003800018688,PRG 3 FLVS CRISPS 336CT MEGA 1/2 MOD
000000003800018698,RKT ORIG BAR MINI 32CT 12.4OZX6
000000003800018731,PRG LA CHZ CRISPS 14X149G PRM 1
000000003800018732,PRG LA SCO CRISPS 14X149G PRM 1
000000003800018733,PRG LA ORG CRISPS 14X149G PRM 1
000000003800018734,PRG MX SCO CRISPS 14X149G PRM 1
000000003800018735,PRG MX CHZ CRISPS 14X149G PRM 1
