T179_STUFE_LEVEL,T179_PRODH_NUM,T179T_VTEXT_DESC,INACTIVE,CHAR_VALUE
5,20101000520027,POP-TARTS CRISPS CLUB PK,,CRISPS CLUB PK
6,201010005200270001,POP-TARTS CRISPS CLUB PK P1,,P1
6,201010005200270002,POP-TARTS CRISPS CLUB PK P2,,P2
6,201010005200270003,POP-TARTS CRISPS CLUB PK P3,,P3
5,20101000520028,POP-TARTS SIMPLY 8CT,,SIMPLY 8CT
6,201010005200280001,POP-TARTS SIMPLY 8CT P1,,P1
6,201010005200280002,POP-TARTS SIMPLY 8CT P2,,P2
6,201010005200280003,POP-TARTS SIMPLY 8CT P3,,P3
5,20101000520029,POP-TARTS SIMPLY 16CT,,SIMPLY 16CT
6,201010005200290001,POP-TARTS SIMPLY 16CT P1,,P1
6,201010005200290002,POP-TARTS SIMPLY 16CT P2,,P2
6,201010005200290003,POP-TARTS SIMPLY 16CT P3,,P3
5,20101000520030,POP-TARTS SIMPLY SS,,SIMPLY SS
6,201010005200300001,POP-TARTS SIMPLY SS P1,,P1
6,201010005200300002,POP-TARTS SIMPLY SS P2,,P2
6,201010005200300003,POP-TARTS SIMPLY SS P3,,P3
5,20101000520031,POP-TARTS SIMPLY CLUB PK,,SIMPLY CLUB PK
6,201010005200310001,POP-TARTS SIMPLY CLUB PK P1,,P1
6,201010005200310002,POP-TARTS SIMPLY CLUB PK P2,,P2
6,201010005200310003,POP-TARTS SIMPLY CLUB PK P3,,P3
5,20101000520032,POP-TARTS PRETZEL 8CT,,PRETZEL 8CT
6,201010005200320001,POP-TARTS PRETZEL 8CT P1,,P1
6,201010005200320002,POP-TARTS PRETZEL 8CT P2,,P2
6,201010005200320003,POP-TARTS PRETZEL 8CT P3,,P3
6,201010005200320004,POP-TARTS PRETZEL 8CT P4,,P4
6,201010005200320005,POP-TARTS PRETZEL 8CT P5,,P5
6,201010005200320006,POP-TARTS PRETZEL 8CT P6,,P6
5,20101000520033,POP-TARTS PRETZEL 12CT,,PRETZEL 12CT
6,201010005200330001,POP-TARTS PRETZEL 12CT P1,,P1
6,201010005200330002,POP-TARTS PRETZEL 12CT P2,,P2
6,201010005200330003,POP-TARTS PRETZEL 12CT P3,,P3
6,201010005200330004,POP-TARTS PRETZEL 12CT P4,,P4
6,201010005200330005,POP-TARTS PRETZEL 12CT P5,,P5
6,201010005200330006,POP-TARTS PRETZEL 12CT P6,,P6
5,20101000520034,POP-TARTS PRETZEL 16CT,,PRETZEL 16CT
6,201010005200340001,POP-TARTS PRETZEL 16CT P1,,P1
6,201010005200340002,POP-TARTS PRETZEL 16CT P2,,P2
6,201010005200340003,POP-TARTS PRETZEL 16CT P3,,P3
6,201010005200340004,POP-TARTS PRETZEL 16CT P4,,P4
6,201010005200340005,POP-TARTS PRETZEL 16CT P5,,P5
6,201010005200340006,POP-TARTS PRETZEL 16CT P6,,P6
5,20101000520035,POP-TARTS PRETZEL CLUB PK,,PRETZEL CLUB PK
6,201010005200350001,POP-TARTS PRETZEL CLUB PK P1,,P1
6,201010005200350002,POP-TARTS PRETZEL CLUB PK P2,,P2
6,201010005200350003,POP-TARTS PRETZEL CLUB PK P3,,P3
6,201010005200350004,POP-TARTS PRETZEL CLUB PK P4,,P4
6,201010005200350005,POP-TARTS PRETZEL CLUB PK P5,,P5
6,201010005200350006,POP-TARTS PRETZEL CLUB PK P6,,P6
5,20101000520036,POP-TARTS PRETZEL 2CT,,PRETZEL 2CT
6,201010005200360001,POP-TARTS PRETZEL 2CT P1,,P1
6,201010005200360002,POP-TARTS PRETZEL 2CT P2,,P2
6,201010005200360003,POP-TARTS PRETZEL 2CT P3,,P3
6,201010005200360004,POP-TARTS PRETZEL 2CT P4,,P4
6,201010005200360005,POP-TARTS PRETZEL 2CT P5,,P5
6,201010005200360006,POP-TARTS PRETZEL 2CT P6,,P6
5,20101000520037,POP-TARTS 60CT,,60CT
6,201010005200370001,POP-TARTS 60CT P1,,P1
6,201010005200370002,POP-TARTS 60CT P2,,P2
6,201010005200370003,POP-TARTS 60CT P3,,P3
6,201010005200370004,POP-TARTS 60CT P4,,P4
6,201010005200370005,POP-TARTS 60CT P5,,P5
6,201010005200370006,POP-TARTS 60CT P6,,P6
5,20101000520038,POP-TARTS CRISPS 10CT,,CRISPS 10CT
6,201010005200380001,POP-TARTS CRISPS 10CT P1,,P1
6,201010005200380002,POP-TARTS CRISPS 10CT P2,,P2
6,201010005200380003,POP-TARTS CRISPS 10CT P3,,P3
6,201010005200380004,POP-TARTS CRISPS 10CT P4,,P4
6,201010005200380005,POP-TARTS CRISPS 10CT P5,,P5
6,201010005200380006,POP-TARTS CRISPS 10CT P6,,P6
5,20101000520039,POP-TARTS CRISPS 24CT,,24ct
6,201010005200390001,POP-TARTS CRISPS 24CT P1,,P1
6,201010005200390002,POP-TARTS CRISPS 24CT P2,,P2
6,201010005200390003,POP-TARTS CRISPS 24CT P3,,P3
6,201010005200390004,POP-TARTS CRISPS 24CT P4,,P4
6,201010005200390005,POP-TARTS CRISPS 24CT P5,,P5
6,201010005200390006,POP-TARTS CRISPS 24CT P6,,P6
5,20101000520040,POP-TARTS POPPERS SS,,SS
6,201010005200400001,POP-TARTS POPPERS SS P1,,P1
6,201010005200400002,POP-TARTS POPPERS SS P2,,P2
6,201010005200400003,POP-TARTS POPPERS SS P3,,P3
6,201010005200400004,POP-TARTS POPPERS SS P4,,P4
6,201010005200400005,POP-TARTS POPPERS SS P5,,P5
6,201010005200400006,POP-TARTS POPPERS SS P6,,P6
5,20101000520041,POP-TARTS POPPERS 2CT,,2CT
6,201010005200410001,POP-TARTS POPPERS 2CT P1,,P1
6,201010005200410002,POP-TARTS POPPERS 2CT P2,,P2
6,201010005200410003,POP-TARTS POPPERS 2CT P3,,P3
6,201010005200410004,POP-TARTS POPPERS 2CT P4,,P4
6,201010005200410005,POP-TARTS POPPERS 2CT P5,,P5
6,201010005200410006,POP-TARTS POPPERS 2CT P6,,P6
5,20101000520042,POP-TARTS POPPERS 5CT,,5CT
6,201010005200420001,POP-TARTS POPPERS 5CT P1,,P1
6,201010005200420002,POP-TARTS POPPERS 5CT P2,,P2
6,201010005200420003,POP-TARTS POPPERS 5CT P3,,P3
6,201010005200420004,POP-TARTS POPPERS 5CT P4,,P4
6,201010005200420005,POP-TARTS POPPERS 5CT P5,,P5
6,201010005200420006,POP-TARTS POPPERS 5CT P6,,P6
5,20101000520043,POP-TARTS POPPERS 10CT,,10CT
6,201010005200430001,POP-TARTS POPPERS 10CT P1,,P1
6,201010005200430002,POP-TARTS POPPERS 10CT P2,,P2
6,201010005200430003,POP-TARTS POPPERS 10CT P3,,P3
6,201010005200430004,POP-TARTS POPPERS 10CT P4,,P4
6,201010005200430005,POP-TARTS POPPERS 10CT P5,,P5
6,201010005200430006,POP-TARTS POPPERS 10CT P6,,P6
