T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,CLASS_TYPE,CHAR_NAME,CHAR_VALUE_MFG_CO,COUNTRY,MFG_CO_ABBREV,MFG_COMMENT,INACTIVE,PRIVATE_LABEL
2030200325,KELLOGG GRAHAM CRUMBS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,NULL,NULL,,
2030999999,CRACKERS PRODUCT RESERVE,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030999999,CRACKERS PRODUCT RESERVE,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2035100221,PRINGLES CRISPS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2035100221,PRINGLES CRISPS,FINISHED_GOODS,MFG_COMPANY,PRINGLES,US,,,,
2035100222,PRINGLES CRISPS SNACK STACKS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2035100222,PRINGLES CRISPS SNACK STACKS,FINISHED_GOODS,MFG_COMPANY,PRINGLES,US,,,,
2035100277,PRINGLES WAVY,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2035100277,PRINGLES WAVY,FINISHED_GOODS,MFG_COMPANY,PRINGLES,US,,,,
2035100321,PRINGLES HARVEST BLENDS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,NULL,NULL,,
2035100321,PRINGLES HARVEST BLENDS,FINISHED_GOODS,MFG_COMPANY,PRINGLES,US,NULL,NULL,,
2035100324,PRINGLES MINGLES,FINISHED_GOODS,MFG_COMPANY,PRINGLES,CA,NULL,NULL,,
2035100324,PRINGLES MINGLES,FINISHED_GOODS,MFG_COMPANY,PRINGLES,US,NULL,NULL,,
2035150249,PRINGLES TORTILLAS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2035150249,PRINGLES TORTILLAS,FINISHED_GOODS,MFG_COMPANY,PRINGLES,US,,,,
2035150271,PRINGLES LOUD,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2035150271,PRINGLES LOUD,FINISHED_GOODS,MFG_COMPANY,PRINGLES,US,,,,
2035200223,PRINGLES STIX,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2035200223,PRINGLES STIX,FINISHED_GOODS,MFG_COMPANY,PRINGLES,US,,,,
2035200224,OTHER SALTY SNACKS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2035200224,OTHER SALTY SNACKS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2035200242,KASHI SALTY SNACKS CRISPS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2035200242,KASHI SALTY SNACKS CRISPS,FINISHED_GOODS,MFG_COMPANY,KASHI,US,,,,
2035200250,CHEEZ-IT SALTY SNACKS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2035200250,CHEEZ-IT SALTY SNACKS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S CHEEZ IT,US,,,,
2035200252,EAGLE SALTY SNACKS CRISPS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2035200252,EAGLE SALTY SNACKS CRISPS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2035200317,PRINGLES PUFFS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2035200317,PRINGLES PUFFS,FINISHED_GOODS,MFG_COMPANY,"PRINGLES ",US,,,,
2035999999,SALTY SNACKS PRODUCT RESERVE,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2035999999,SALTY SNACKS PRODUCT RESERVE,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2040200268,PURE FRUIT STRIPS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2040200268,PURE FRUIT STRIPS,FINISHED_GOODS,MFG_COMPANY,PURE ORGANIC,US,,,,
2040200269,PURE LAYERED FRUIT BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2040200269,PURE LAYERED FRUIT BARS,FINISHED_GOODS,MFG_COMPANY,PURE ORGANIC,US,,,,
2040999999,FRUIT SNACKS PRODUCT RESERVE,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2040999999,FRUIT SNACKS PRODUCT RESERVE,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050100126,ALL BRAN CEREAL BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050100126,ALL BRAN CEREAL BARS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050100127,CEREAL BREAKFAST BAR,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050100127,CEREAL BREAKFAST BAR,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050100128,CINNABON BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050100128,CINNABON BARS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050100129,NUTRI-GRAIN CEREAL BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050100129,NUTRI-GRAIN CEREAL BARS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050100130,SPECIAL K CEREAL BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050100130,SPECIAL K CEREAL BARS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
